//  CHAIN NAME: 'chain0'
//  CHAIN LENGTH: 5051
//  SCAN INPUT: '/scan_in_0'
//  SCAN OUTPUT: '/scan_out_0'
cell#  chain   cell_type  inv   gate#   shift_clock     inv  cell_name  instance_name                                                                                                           lib_internal_pathname  pin_names  
-----  ------  ---------  ----  ------  -------------------  ---------  ----------------------------------------------------------------------------------------------------------------------  ---------------------  ---------  
46     chain0  MASTER     FFFF  581748  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/micro_instr_reg_13_                                          (SI,Q)     
47     chain0  MASTER     FFFF  581747  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/micro_instr_reg_12_                                          (SI,Q)     
48     chain0  MASTER     FFFF  581746  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/micro_instr_reg_9_                                           (SI,Q)     
49     chain0  MASTER     FFFF  581745  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/micro_instr_reg_23_                                          (SI,Q)     
50     chain0  MASTER     FFFF  581744  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/micro_instr_reg_18_                                          (SI,Q)     
51     chain0  MASTER     FFFF  581743  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/micro_instr_reg_8_                                           (SI,Q)     
52     chain0  MASTER     FFFF  581742  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/micro_instr_reg_4_                                           (SI,Q)     
53     chain0  MASTER     FFFF  581741  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/micro_instr_reg_27_                                          (SI,Q)     
54     chain0  MASTER     FFFF  581740  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/micro_instr_reg_25_                                          (SI,Q)     
55     chain0  MASTER     FFFF  581739  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/micro_instr_reg_5_                                           (SI,Q)     
56     chain0  MASTER     FFFF  581738  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/micro_instr_reg_6_                                           (SI,Q)     
